********************************************************************************
product = Open Liberty 21.0.0.2 (wlp-1.0.49.cl210220210209-1100)
wlp.install.dir = /projects/websphere-liberty-example/ephemeral/target/liberty/wlp/
java.home = /usr/local/openjdk-8/jre
java.version = 1.8.0_222
java.runtime = OpenJDK Runtime Environment (1.8.0_222-b10)
os = Linux (4.18.0-193.41.1.el8_2.x86_64; amd64) (en)
process = 165@workspacem4q1rocu5w57f1vj.workspace-8574c76475-hw5bt
********************************************************************************
[3/11/21 16:00:32:301 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[3/11/21 16:00:33:099 UTC] 00000013 com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /projects/websphere-liberty-example/ephemeral/target/liberty/wlp/usr/servers/defaultServer/configDropins/defaults/install_apps_configuration_1491924271.xml
[3/11/21 16:00:33:637 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 1.56 seconds
[3/11/21 16:00:33:703 UTC] 0000001b com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[3/11/21 16:00:34:829 UTC] 0000001b com.ibm.ws.config.xml.internal.ConfigValidator               A CWWKG0102I: Found conflicting settings for javaee-cafe instance of webApplication configuration.
  Property location has conflicting values:
    Value javaee-cafe.war is set in file:/projects/websphere-liberty-example/ephemeral/target/liberty/wlp/usr/servers/defaultServer/configDropins/defaults/install_apps_configuration_1491924271.xml.
    Value ${server.config.dir}/apps/javaee-cafe.war is set in file:/projects/websphere-liberty-example/ephemeral/target/liberty/wlp/usr/servers/defaultServer/server.xml.
  Property location will be set to ${server.config.dir}/apps/javaee-cafe.war.

[3/11/21 16:00:34:922 UTC] 00000013 .apache.cxf.cxf.core.3.2:1.0.49.cl210220210209-1100(id=149)] I Aries Blueprint packages not available. So namespaces will not be registered
[3/11/21 16:00:35:528 UTC] 00000013 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[3/11/21 16:00:37:390 UTC] 0000001d com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application javaee-cafe.
[3/11/21 16:00:37:391 UTC] 0000001d bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The javaee-cafe application is using the loose application definition at the /projects/websphere-liberty-example/ephemeral/target/liberty/wlp/usr/servers/defaultServer/apps/javaee-cafe.war.xml location.
[3/11/21 16:00:37:777 UTC] 0000001d com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[3/11/21 16:00:37:842 UTC] 0000001d org.jboss.weld.Version                                       I WELD-000900: 3.1.4 (Final)
[3/11/21 16:00:38:672 UTC] 0000001d org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[3/11/21 16:00:38:688 UTC] 0000001d org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.cdi.JsfArtifactProducerExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[3/11/21 16:00:39:210 UTC] 0000001d com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: javaee-cafe.
[3/11/21 16:00:39:214 UTC] 0000001d com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module javaee-cafe has been bound to default_host.
[3/11/21 16:00:39:216 UTC] 0000001d com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://workspacem4q1rocu5w57f1vj.workspace-8574c76475-hw5bt:9080/
[3/11/21 16:00:39:276 UTC] 00000025 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/
[3/11/21 16:00:39:326 UTC] 00000025 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[3/11/21 16:00:39:469 UTC] 00000025 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[3/11/21 16:00:39:684 UTC] 0000001d com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at /projects/websphere-liberty-example/ephemeral/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml.
[3/11/21 16:00:39:707 UTC] 00000025 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading standard config META-INF/standard-faces-config.xml
[3/11/21 16:00:39:942 UTC] 00000025 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Found javax.faces.application.ApplicationFactory factory implementation: com.ibm.ws.jsf.config.WASApplicationFactoryImpl
[3/11/21 16:00:39:943 UTC] 00000025 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading config /WEB-INF/faces-config.xml
[3/11/21 16:00:40:054 UTC] 00000025 org.apache.myfaces.spi.impl.DefaultInjectionProviderFactory  I Using InjectionProvider com.ibm.ws.jsf.spi.impl.WASCDIAnnotationDelegateInjectionProvider
[3/11/21 16:00:40:144 UTC] 00000025 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core CDI support enabled
[3/11/21 16:00:40:150 UTC] 00000025 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core Bean Validation support disabled
[3/11/21 16:00:40:299 UTC] 00000025 org.apache.myfaces.config.FacesConfigurator                  I Serialization provider : class org.apache.myfaces.shared_impl.util.serial.DefaultSerialFactory
[3/11/21 16:00:40:409 UTC] 00000025 org.apache.myfaces.webapp.AbstractFacesInitializer           I ServletContext initialized.
[3/11/21 16:00:40:414 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I Tomahawk jar not available. Autoscrolling, DetectJavascript, AddResourceClass and CheckExtensionsFilter are disabled now.
[3/11/21 16:00:40:414 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I Scanning for context init parameters not defined. It is not necessary to define them all into your web.xml, they are just provided here for informative purposes. To disable this messages set org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS config param to 'false'
[3/11/21 16:00:40:414 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.RESOURCE_EXCLUDES' found, using default value '.class .jsp .jspx .properties .xhtml .groovy'.
[3/11/21 16:00:40:414 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.STATE_SAVING_METHOD' found, using default value 'server'.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FULL_STATE_SAVING_VIEW_IDS' found.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.PARTIAL_STATE_SAVING' found, using default value 'true (false with 1.2 webapps)'.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.SERIALIZE_SERVER_STATE' found, using default value 'false'.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DEFAULT_SUFFIX' found, using default value '.xhtml .view.xml .jsp'.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_VIEW_MAPPINGS' found.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DISABLE_FACELET_JSF_VIEWHANDLER' found.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_BUFFER_SIZE' found, using default value '1024'.
[3/11/21 16:00:40:415 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_DECORATORS' found.
[3/11/21 16:00:40:416 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_LIBRARIES' found.
[3/11/21 16:00:40:416 UTC] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_REFRESH_PERIOD' found, using default value '-1'.
